index	seqnames	start	end	value	delta	minmax
98	chr1	3880000	3920000	-1.26871864650392	-0.137902289295847	-1
120	chr1	4760000	4800000	0.769780883771732	0.0171770898403192	-1
150	chr1	5960000	6000000	-0.906878672322452	0.0906164972292136	-1
167	chr1	6640000	6680000	-0.503703677661138	0.175352319169817	-1
192	chr1	7640000	7680000	-0.218587509904816	-0.446243092430641	-1
199	chr1	7920000	7960000	-0.445249227014251	0.00937669928545076	-1
209	chr1	8320000	8360000	0.176808805530167	-0.125256673310999	-1
222	chr1	8840000	8880000	0.381816760448597	-0.00337027144148329	-1
240	chr1	9560000	9600000	0.369861096090236	-0.00686528561402722	-1
261	chr1	10400000	10440000	0.0120139029739048	0.141764070178717	-1
277	chr1	11040000	11080000	-0.12570160689568	-0.121853469717639	-1
301	chr1	12000000	12040000	0.073558400446815	0.148708174543631	-1
331	chr1	13200000	13240000	-0.555596104982482	0.164731723705399	-1
351	chr1	14000000	14040000	0.541384646125683	-0.0343645888046961	-1
365	chr1	14560000	14600000	0.308677786733849	-0.0454070011340615	-1
389	chr1	15520000	15560000	-0.135285626092702	0.231990644133535	-1
401	chr1	16000000	16040000	0.625027423799861	-0.0906872951286017	-1
413	chr1	16480000	16520000	-0.226979692860607	0.132062879509591	-1
423	chr1	16880000	16920000	-0.131496482401623	-0.196527636469218	-1
441	chr1	17600000	17640000	0.00952157109047007	-0.191437165158107	-1
460	chr1	18360000	18400000	0.880590241412084	0.03064490032996	-1
473	chr1	18880000	18920000	-0.157019837567439	0.140764603232819	-1
482	chr1	19240000	19280000	0.0776738437323005	0.108249876936033	-1
494	chr1	19720000	19760000	0.177193914264499	0.0544136632185486	-1
518	chr1	20680000	20720000	0.0745678188859364	-0.0193570968119	-1
531	chr1	21200000	21240000	0.526243120004392	-0.107021689612657	-1
542	chr1	21640000	21680000	0.698193431583844	0.149996827753746	-1
552	chr1	22040000	22080000	0.265398814673843	-0.0366464487383415	-1
567	chr1	22640000	22680000	0.713978440928082	-0.11842216944	-1
575	chr1	22960000	23000000	0.35488857710656	0.16648721538341	-1
593	chr1	23680000	23720000	0.286633249037193	-0.0129911220177428	-1
603	chr1	24080000	24120000	0.540354246192225	0.0491496599768741	-1
616	chr1	24600000	24640000	0.269126786526517	0.0907170242668634	-1
622	chr1	24840000	24880000	0.358770779117495	-0.0992219108748965	-1
631	chr1	25200000	25240000	-0.0607465150667965	-0.117786200925778	-1
646	chr1	25800000	25840000	0.334683901266138	-0.0497620128382074	-1
651	chr1	26000000	26040000	0.457101304846584	0.0430187822641956	-1
662	chr1	26440000	26480000	0.314337465191535	0.0365237577862466	-1
675	chr1	26960000	27000000	0.536354529231547	0.247552300214056	-1
685	chr1	27360000	27400000	0.849440271808785	-0.0515055601186351	-1
694	chr1	27720000	27760000	0.257268413921959	-0.0293754733404864	-1
717	chr1	28640000	28680000	0.218909805069065	0.0773191729955498	-1
723	chr1	28880000	28920000	0.420722566037308	0.0710553983979604	-1
731	chr1	29200000	29240000	-0.355897672621376	-0.280352429255336	-1
768	chr1	30680000	30720000	-0.563481323975629	-0.124934194125819	-1
802	chr1	32040000	32080000	0.344342307205246	-0.132007029618197	-1
806	chr1	32200000	32240000	0.400675201750771	0.0708187885135714	-1
828	chr1	33080000	33120000	0.18703114255612	-0.26496420097648	-1
838	chr1	33480000	33520000	-0.562980087405922	-0.234407954128531	-1
870	chr1	34760000	34800000	-0.272893560826865	-0.0549995082547967	-1
875	chr1	34960000	35000000	-0.222817567817948	0.0492274686537856	-1
897	chr1	35840000	35880000	-0.0321978810706379	-0.0256901611485692	-1
903	chr1	36080000	36120000	-0.115557053999299	0.210097395566636	-1
913	chr1	36480000	36520000	-0.440246701300738	0.039282788812817	-1
937	chr1	37440000	37480000	0.0122440422629922	-0.00902224420136513	-1
951	chr1	38000000	38040000	-0.47498087955846	0.0765029448286647	-1
971	chr1	38800000	38840000	-0.626419036728907	-0.473825009423138	-1
996	chr1	39800000	39840000	0.206360770917937	0.0249572394842033	-1
1002	chr1	40040000	40080000	0.0697580915225349	0.11851108469704	-1
1015	chr1	40560000	40600000	0.0772152813993204	0.0870234195758278	-1
1026	chr1	41000000	41040000	0.237525373920188	0.0028185826716408	-1
1038	chr1	41480000	41520000	0.23066573596936	-0.104375459605886	-1
1054	chr1	42120000	42160000	0.151254536836339	0.0283968824375624	-1
1070	chr1	42760000	42800000	0.0759990728846714	0.05316878504709	-1
1080	chr1	43160000	43200000	0.591387189789832	0.168304908904421	-1
1086	chr1	43400000	43440000	0.908626591680596	-0.00746690506966688	-1
1102	chr1	44040000	44080000	0.167690540656438	0.0780938035150871	-1
1119	chr1	44720000	44760000	-0.321273423715846	0.123495417861727	-1
1140	chr1	45560000	45600000	-0.165724910840419	0.0513587627261994	-1
1151	chr1	46000000	46040000	0.564900674127304	0.0169531377994342	-1
1160	chr1	46360000	46400000	-0.174366899285147	0.0538655192012549	-1
1185	chr1	47360000	47400000	-0.0894453081099594	0.126818911350511	-1
1193	chr1	47680000	47720000	0.195033597987427	-0.076435158058322	-1
1206	chr1	48200000	48240000	-0.19286611211558	0.0026433786165838	-1
1214	chr1	48520000	48560000	-0.0755218021787922	0.145362112213453	-1
1224	chr1	48920000	48960000	-0.142278813524042	-0.123736755230914	-1
1261	chr1	50400000	50440000	-1.01517638039072	0.177832857129333	-1
1283	chr1	51280000	51320000	-0.576743019498779	0.151026687054418	-1
1296	chr1	51800000	51840000	-0.161453930454798	-0.0124928528109707	-1
1301	chr1	52000000	52040000	-0.321573913427548	-0.0875952910008701	-1
1318	chr1	52680000	52720000	0.157623803396577	-0.0633999360340828	-1
1331	chr1	53200000	53240000	0.125562718708145	0.0696207968395453	-1
1345	chr1	53760000	53800000	-0.173936724318117	-0.143157886016848	-1
1377	chr1	55040000	55080000	-0.546386067389483	0.0663686497498618	-1
1384	chr1	55320000	55360000	-0.279882328507605	0.11617370162961	-1
1402	chr1	56040000	56080000	0.339542003983967	0.0940896479759898	-1
1421	chr1	56800000	56840000	-0.805666410078554	0.266820592595365	-1
1440	chr1	57560000	57600000	0.502120576919164	0.0163335698947852	-1
1463	chr1	58480000	58520000	-0.947360335381759	-0.039850380539148	-1
1496	chr1	59800000	59840000	-1.43899005008715	-0.240787744515733	-1
1523	chr1	60880000	60920000	-0.77471213789663	0.168057263976546	-1
1549	chr1	61920000	61960000	-0.361536513873687	-0.0160118033219301	-1
1554	chr1	62120000	62160000	-0.454765302967647	0.305553110418195	-1
1561	chr1	62400000	62440000	-0.559778319061957	-0.293021262936074	-1
1570	chr1	62760000	62800000	-0.930848483466676	-0.292379942494604	-1
1589	chr1	63520000	63560000	-1.05069196654275	-0.0603294318851915	-1
1607	chr1	64240000	64280000	-0.299627345581114	-0.295932968193305	-1
1615	chr1	64560000	64600000	-0.106739321296396	-0.0143520889628027	-1
1622	chr1	64840000	64880000	-0.211408220310539	-0.115336229159684	-1
1643	chr1	65680000	65720000	-0.283271240874373	-0.105865003173094	-1
1669	chr1	66720000	66760000	-0.517757983077561	0.172868351453565	-1
1681	chr1	67200000	67240000	-0.111784151647892	-0.0570579407241318	-1
1689	chr1	67520000	67560000	-0.0779193242764265	0.261049974432813	-1
1696	chr1	67800000	67840000	0.233949660785735	0.0964842693441306	-1
1715	chr1	68560000	68600000	-0.68392057447586	0.169796580983867	-1
1745	chr1	69760000	69800000	-0.688033657660865	-0.182003906769873	-1
1764	chr1	70520000	70560000	-0.377051570902096	-0.0928418516683139	-1
1778	chr1	71080000	71120000	-0.479986222252506	0.0875069147440512	-1
1790	chr1	71560000	71600000	-0.208999087109582	-0.0533679094582782	-1
1804	chr1	72120000	72160000	-0.579136066609558	0.068248314528075	-1
1814	chr1	72520000	72560000	-0.569517509608243	-0.0473589607385526	-1
1828	chr1	73080000	73120000	-0.124641681025452	-0.031185593157635	-1
1847	chr1	73840000	73880000	-0.596404241139226	-0.0169095344244375	-1
1869	chr1	74720000	74760000	-0.699172885067967	0.0243209880668344	-1
1880	chr1	75160000	75200000	-0.236973661697966	-0.0338094044776436	-1
1897	chr1	75840000	75880000	-0.57673460591066	0.0411884753204569	-1
1929	chr1	77120000	77160000	-0.557900410952151	-0.159858775386616	-1
1950	chr1	77960000	78000000	-0.510427228124605	-0.00521452238911482	-1
1968	chr1	78680000	78720000	-1.04166970200943	0.00773451710687023	-1
1986	chr1	79400000	79440000	-0.562490195951314	-0.0314174968214942	-1
2006	chr1	80200000	80240000	-0.888927829137145	0.184667064741378	-1
2039	chr1	81520000	81560000	-0.595520675424443	0.103480271733005	-1
2045	chr1	81760000	81800000	-0.83641611212589	-0.177824674752051	-1
2069	chr1	82720000	82760000	-0.635450201278835	-0.0547626174244153	-1
2098	chr1	83880000	83920000	-1.25878111153326	0.145159452471948	-1
2119	chr1	84720000	84760000	-0.108929246881351	-0.00436389180485432	-1
2127	chr1	85040000	85080000	-0.353726936526998	0.0996464036720362	-1
2132	chr1	85240000	85280000	-0.570218562922823	0.0277388752657262	-1
2150	chr1	85960000	86000000	-0.592115120722219	0.0417506783659857	-1
2159	chr1	86320000	86360000	-0.64597278555713	-0.0723618910176731	-1
2169	chr1	86720000	86760000	-0.566926276252656	-0.12620070797518	-1
2178	chr1	87080000	87120000	-0.816102170249441	0.191900754208863	-1
2204	chr1	88120000	88160000	-0.33904006806144	-0.00134963305840123	-1
2216	chr1	88600000	88640000	-1.06580316575131	-0.176739922445958	-1
2224	chr1	88920000	88960000	-1.06048176957001	0.320029650379375	-1
2245	chr1	89760000	89800000	-0.472351098136571	-0.0164879436556963	-1
2252	chr1	90040000	90080000	-1.0108084336741	0.0966293158677909	-1
2268	chr1	90680000	90720000	-0.0903040085394198	0.0329275665101985	-1
2286	chr1	91400000	91440000	-0.348010972258011	0.00848236018913287	-1
2299	chr1	91920000	91960000	-0.205905418312972	-0.367664841563422	-1
2308	chr1	92280000	92320000	-0.150636679357443	0.0807937589667238	-1
2321	chr1	92800000	92840000	-0.901848052407552	0.244126339018414	-1
2326	chr1	93000000	93040000	-0.710204495024737	-0.102383140747321	-1
2347	chr1	93840000	93880000	-0.0883077139450907	-0.36153210977712	-1
2362	chr1	94440000	94480000	0.323993235045347	0.100738634646187	-1
2382	chr1	95240000	95280000	-1.06231645020289	0.0501484466919656	-1
2406	chr1	96200000	96240000	-0.647893871656474	0.26242979189253	-1
2425	chr1	96960000	97000000	-1.28026051074674	0.206468476762425	-1
2446	chr1	97800000	97840000	-0.746128937738425	0.0580796528610571	-1
2469	chr1	98720000	98760000	-0.978437595206038	0.259611341678402	-1
2495	chr1	99760000	99800000	-0.990537128339375	0.216727734759495	-1
2511	chr1	100400000	100440000	-0.37806634894381	-0.0442851615611533	-1
2522	chr1	100840000	100880000	-0.421682732454804	-0.0353705088382758	-1
2537	chr1	101440000	101480000	-0.782702305101729	0.0049351819102558	-1
2562	chr1	102440000	102480000	-0.516277557890817	0.0580115173037704	-1
2577	chr1	103040000	103080000	-0.561283051992467	0.00764947311160674	-1
2589	chr1	103520000	103560000	-1.394527560151	-0.04233214048544	-1
2605	chr1	104160000	104200000	-0.472947162801911	-0.00163655360099269	-1
2616	chr1	104600000	104640000	-0.86796697947943	-0.0962954512226783	-1
2646	chr1	105800000	105840000	-0.921172050051652	0.0595742204027719	-1
2680	chr1	107160000	107200000	-0.635359264492261	0.0508887956101763	-1
2695	chr1	107760000	107800000	-0.293608735526113	0.0687398672657567	-1
2706	chr1	108200000	108240000	-0.388794627489592	0.0041789559645409	-1
2718	chr1	108680000	108720000	-0.9628459321533	-0.0395801513889154	-1
2736	chr1	109400000	109440000	0.164369410345074	-0.00967183521027168	-1
2752	chr1	110040000	110080000	-0.0971575281199758	-0.427477998347754	-1
2763	chr1	110480000	110520000	-0.0630209685064784	-0.122382125347487	-1
2777	chr1	111040000	111080000	-0.20128905713598	-0.0567925584235838	-1
2787	chr1	111440000	111480000	-0.365334765579795	0.158793740764906	-1
2795	chr1	111760000	111800000	-0.321742539649099	0.1554797756244	-1
2810	chr1	112360000	112400000	-0.389502417579869	-0.0101508447560159	-1
2818	chr1	112680000	112720000	-0.167848677665617	0.222781202962511	-1
2828	chr1	113080000	113120000	-0.261435772917524	0.13174032237837	-1
2846	chr1	113800000	113840000	-0.9439283947703	-0.0290938891505311	-1
2859	chr1	114320000	114360000	0.0312800557512664	-0.0790353482960882	-1
2870	chr1	114760000	114800000	-0.425952062837876	-0.11887856644155	-1
2895	chr1	115760000	115800000	-0.216024705133163	0.180312447179595	-1
2902	chr1	116040000	116080000	-0.233671613833104	0.107320432056179	-1
2915	chr1	116560000	116600000	-0.0294565220372105	0.135698748281337	-1
2938	chr1	117480000	117520000	-0.204090272870832	0.0664206825589131	-1
2949	chr1	117920000	117960000	-1.06246510443174	-0.0850999403780121	-1
2983	chr1	119280000	119320000	-0.433151576604122	0.031265718056181	-1
2991	chr1	119600000	119640000	-0.716287014946692	0.104982868392352	-1
3682	chr1	147240000	147280000	-0.417416982401184	0.0433796213701109	-1
3756	chr1	150200000	150240000	0.141045836393638	-0.0634407954766178	-1
3775	chr1	150960000	151000000	0.254559739291677	-0.0766505321173261	-1
3780	chr1	151160000	151200000	0.286872684032949	0.00548757587798203	-1
3802	chr1	152040000	152080000	-0.301004601828027	-0.0470546455266087	-1
3813	chr1	152480000	152520000	0.0185596351403673	-0.0618120673184097	-1
3833	chr1	153280000	153320000	-0.30970111691543	0.118435364303636	-1
3851	chr1	154000000	154040000	0.758976488829721	-0.080803357008906	-1
3858	chr1	154280000	154320000	0.715341435808251	0.0949574594721634	-1
3881	chr1	155200000	155240000	0.547274229358487	0.241756618833088	-1
3898	chr1	155880000	155920000	0.580283943497315	0.114952156246029	-1
3909	chr1	156320000	156360000	0.634771385163666	-0.102388861352071	-1
3930	chr1	157160000	157200000	-0.45112259933798	0.331467570129048	-1
3939	chr1	157520000	157560000	0.102634229998663	0.0662168391410709	-1
3955	chr1	158160000	158200000	-0.373844041826614	-0.0931072469148081	-1
3981	chr1	159200000	159240000	-0.347707351984154	0.278169175482442	-1
3995	chr1	159760000	159800000	-0.663149813722962	-0.25635263642369	-1
4011	chr1	160400000	160440000	-0.14237674847795	0.174451137394882	-1
4025	chr1	160960000	161000000	-0.425358252053871	-0.232584864634771	-1
4035	chr1	161360000	161400000	-0.179854985226775	-0.0456024993197136	-1
4045	chr1	161760000	161800000	-0.0920090070862553	-0.023142195078357	-1
4072	chr1	162840000	162880000	-0.572567203059331	0.198225010416155	-1
4084	chr1	163320000	163360000	-0.688201063296105	-0.2571599898191	-1
4104	chr1	164120000	164160000	-0.28081781645321	-0.0726379942169391	-1
4128	chr1	165080000	165120000	-0.382338040867968	0.108654029558604	-1
4140	chr1	165560000	165600000	0.124483429995207	-0.0337462979124501	-1
4149	chr1	165920000	165960000	0.0978529899324165	-0.0411499731269536	-1
4171	chr1	166800000	166840000	-0.815649300803948	-0.150726592649977	-1
4189	chr1	167520000	167560000	0.0322350813843818	-0.0472866775530534	-1
4209	chr1	168320000	168360000	-0.390647873246147	-0.234573099287117	-1
4235	chr1	169360000	169400000	-0.835618405456385	-0.121388315845673	-1
4247	chr1	169840000	169880000	-0.763430300951405	0.0904049222561134	-1
4274	chr1	170920000	170960000	-0.177414639222243	0.0171390484615185	-1
4288	chr1	171480000	171520000	-0.701466894761111	-0.124343980748734	-1
4318	chr1	172680000	172720000	-0.438946881847005	0.0978820075387077	-1
4335	chr1	173360000	173400000	-0.187135119184185	0.179641770599492	-1
4357	chr1	174240000	174280000	-0.697868780583881	0.383982990971393	-1
4375	chr1	174960000	175000000	-0.432803561833964	0.0434987042152204	-1
4406	chr1	176200000	176240000	-0.427979737832836	-0.0558145928723032	-1
4423	chr1	176880000	176920000	-0.0290586510261573	0.122702232821248	-1
4432	chr1	177240000	177280000	0.377320339211689	0.0735179323588294	-1
4450	chr1	177960000	178000000	-1.23631370840966	0.13371383465408	-1
4485	chr1	179360000	179400000	-0.551686717144604	-0.0471467397593401	-1
4496	chr1	179800000	179840000	-0.88527829609186	-0.314122365200408	-1
4513	chr1	180480000	180520000	-0.516230537333865	0.487711862103568	-1
4521	chr1	180800000	180840000	0.286373121832365	-0.0256165030270758	-1
4530	chr1	181160000	181200000	0.256553660353489	-0.293443173011235	-1
4536	chr1	181400000	181440000	0.234037091678701	0.0124178939712145	-1
4552	chr1	182040000	182080000	-0.183085460983939	0.288896724737689	-1
4572	chr1	182840000	182880000	-0.460884511338555	-0.00231528867088238	-1
4591	chr1	183600000	183640000	-0.494005753237234	-0.102867402639971	-1
4599	chr1	183920000	183960000	-0.159095006481939	-0.0963146762184772	-1
4620	chr1	184760000	184800000	-0.773087167843856	0.142710982231186	-1
4644	chr1	185720000	185760000	-0.665590667014843	0.0747290785252476	-1
4660	chr1	186360000	186400000	-1.13615010249925	0.20112915640948	-1
4677	chr1	187040000	187080000	-0.744802994528997	-0.103155979503062	-1
4709	chr1	188320000	188360000	-0.291958950088666	0.00110462926905221	-1
4734	chr1	189320000	189360000	-0.788113017193365	0.0288072191161877	-1
4762	chr1	190440000	190480000	-1.11270849517757	0.107688688351209	-1
4778	chr1	191080000	191120000	-0.282599861390586	-0.0293181078619188	-1
4797	chr1	191840000	191880000	-0.282024612147642	-0.0221457443039584	-1
4811	chr1	192400000	192440000	-0.838217198140104	-0.0831894479554067	-1
4829	chr1	193120000	193160000	-1.11226051953246	-0.0208004630036122	-1
4860	chr1	194360000	194400000	-0.57936531920477	-0.0157258974387124	-1
4879	chr1	195120000	195160000	-0.0858452651593537	0.0217204183432018	-1
4895	chr1	195760000	195800000	-0.577567871752009	-0.120810190174693	-1
4908	chr1	196280000	196320000	-0.0773326206430817	-0.00759037440484153	-1
4918	chr1	196680000	196720000	-0.708032961792994	-0.250024046679536	-1
4936	chr1	197400000	197440000	-1.15263452581586	-0.0625547157894257	-1
4948	chr1	197880000	197920000	-0.421228123060082	-0.0289054330988621	-1
4968	chr1	198680000	198720000	-1.12691446953236	-0.0547175844680225	-1
4989	chr1	199520000	199560000	-0.67702672531145	0.0639499237726171	-1
5014	chr1	200520000	200560000	-0.368105509505568	-0.240086237790768	-1
5022	chr1	200840000	200880000	0.0249059481306698	0.0389676199590379	-1
5037	chr1	201440000	201480000	0.255264152588113	0.0579429670704644	-1
5048	chr1	201880000	201920000	0.725529275954278	-0.0383264651930047	-1
5054	chr1	202120000	202160000	0.311618479242804	-0.4208691189255	-1
5076	chr1	203000000	203040000	-0.0118309979981312	0.29502090408789	-1
5088	chr1	203480000	203520000	0.614913666263458	0.0220042769804959	-1
5095	chr1	203760000	203800000	0.181876394231017	-0.113886399603983	-1
5105	chr1	204160000	204200000	0.485944982469974	-0.114956147888407	-1
5114	chr1	204520000	204560000	-0.103520436385924	0.0916914663014631	-1
5132	chr1	205240000	205280000	0.0634062128860008	0.0994171947490989	-1
5145	chr1	205760000	205800000	0.0125475830448151	0.00590238283208053	-1
5154	chr1	206120000	206160000	0.116141578830949	0.02424472598387	-1
5159	chr1	206320000	206360000	0.118135705489196	-0.186328074931164	-1
5177	chr1	207040000	207080000	0.0316475685645424	-0.0454367759521898	-1
5196	chr1	207800000	207840000	-0.606319761322604	0.107865573334136	-1
5208	chr1	208280000	208320000	0.0132299484075696	-0.0222787247375097	-1
5231	chr1	209200000	209240000	0.289312129015903	0.00989115311136228	-1
5246	chr1	209800000	209840000	-0.674366546313914	-0.147815354967983	-1
5261	chr1	210400000	210440000	0.0473624366646221	0.181144473602447	-1
5282	chr1	211240000	211280000	-0.899638476879164	-0.182673011118542	-1
5301	chr1	212000000	212040000	0.0418100047269059	0.0155838791374031	-1
5312	chr1	212440000	212480000	0.136583727371688	0.17860669028158	-1
5327	chr1	213040000	213080000	-0.723102641890386	-0.0726357418864083	-1
5356	chr1	214200000	214240000	-0.628847915437761	0.0119635034058274	-1
5367	chr1	214640000	214680000	-0.493122379727798	0.0846859361071274	-1
5391	chr1	215600000	215640000	-1.67055821118226	-0.165939128318247	-1
5417	chr1	216640000	216680000	-0.521462907063281	-0.0660802812979693	-1
5445	chr1	217760000	217800000	-0.392141663439948	-0.11712313508389	-1
5457	chr1	218240000	218280000	-2.0293719365776	-0.291117690431665	-1
5480	chr1	219160000	219200000	-0.891078042031798	0.0970263237253341	-1
5499	chr1	219920000	219960000	-0.991482908920841	-0.0852964776491984	-1
5521	chr1	220800000	220840000	-0.378817005472302	0.248906057863141	-1
5537	chr1	221440000	221480000	-0.363506828805958	-0.0159880736692545	-1
5552	chr1	222040000	222080000	0.0297153718457099	-0.252309878610294	-1
5567	chr1	222640000	222680000	-0.73483994184993	0.0486585158707546	-1
5578	chr1	223080000	223120000	-0.0722221872655393	0.0846431370574224	-1
5593	chr1	223680000	223720000	0.0107045942755612	-0.0909167510915426	-1
5600	chr1	223960000	224000000	0.148223604525494	-0.000539209389311207	-1
